# waiting_times,queue_lengths
1.864210275088225899e+00,2.000000000000000000e+00
2.717735589335291024e+00,2.000000000000000000e+00
3.016490474653892306e+00,2.000000000000000000e+00
3.607929485105444201e+00,2.000000000000000000e+00
4.137827300687320076e+00,3.000000000000000000e+00
5.487168454091090553e+00,4.000000000000000000e+00
3.647906296892529099e+00,3.000000000000000000e+00
6.686906647232660816e+00,4.000000000000000000e+00
7.180670482970526791e+00,4.000000000000000000e+00
9.442751061449996541e+00,5.000000000000000000e+00
8.741035975788406631e+00,5.000000000000000000e+00
9.546788252979979461e+00,5.000000000000000000e+00
8.047347836855976766e+00,5.000000000000000000e+00
7.135985527217826530e+00,6.000000000000000000e+00
3.706915968550106300e+00,5.000000000000000000e+00
2.294763815877274737e+00,4.000000000000000000e+00
1.562926695883163575e+00,1.000000000000000000e+00
8.812588482547880631e-01,2.000000000000000000e+00
1.974032843292093276e+00,3.000000000000000000e+00
